Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
all demo,Chrome 125.0.0.0,,,13-06-2024 08:25:46,13-06-2024 08:35:08,9m - 21.672s,FAILED
,,,,,,,
Test Cases/mary matha/home,Chrome 125.0.0.0,,,13-06-2024 08:28:25,13-06-2024 08:29:16,51.121s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 08:28:25,13-06-2024 08:28:26,0.849s,PASSED
"navigateToUrl(""https://marymathacollege.edu.in/"")",Chrome 125.0.0.0,,,13-06-2024 08:28:26,13-06-2024 08:28:37,10.786s,PASSED
"click(findTestObject(""Object Repository/mary matha/Page_Mary Matha CMI/img""))",Chrome 125.0.0.0,,,13-06-2024 08:28:37,13-06-2024 08:28:38,1.138s,PASSED
"click(findTestObject(""Object Repository/mary matha/Page_Mary Matha CMI/h4_News  Circulars""))",Chrome 125.0.0.0,,,13-06-2024 08:28:38,13-06-2024 08:28:39,0.705s,PASSED
"click(findTestObject(""Object Repository/mary matha/Page_Mary Matha CMI/li_Link for Online Admission 2024-2025.NEW""))",Chrome 125.0.0.0,,,13-06-2024 08:28:39,13-06-2024 08:28:43,4.514s,PASSED
"click(findTestObject(""Object Repository/mary matha/Page_Mary Matha CMI/ul_Link for Online Admission 2024-2025.NEW _397257""))",Chrome 125.0.0.0,,,13-06-2024 08:28:43,13-06-2024 08:29:16,33.109s,FAILED
,,,,,,,
Test Cases/nscet/academics,Chrome 125.0.0.0,,,13-06-2024 08:30:03,13-06-2024 08:30:15,11.858s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 08:30:03,13-06-2024 08:30:04,0.879s,PASSED
"navigateToUrl(""https://nscet.org/index.html"")",Chrome 125.0.0.0,,,13-06-2024 08:30:04,13-06-2024 08:30:13,9.355s,PASSED
"click(findTestObject(""Object Repository/nscet/Page_N S C E T/p_ANNA UNIVERISTY FACULTY DETAIL""))",Chrome 125.0.0.0,,,13-06-2024 08:30:13,13-06-2024 08:30:13,0.298s,PASSED
"click(findTestObject(""Object Repository/nscet/Page_N S C E T/body_x                                 ANNA_b992fa""))",Chrome 125.0.0.0,,,13-06-2024 08:30:13,13-06-2024 08:30:14,0.375s,PASSED
"click(findTestObject(""Object Repository/nscet/Page_N S C E T/body_x                                 ANNA_b992fa""))",Chrome 125.0.0.0,,,13-06-2024 08:30:14,13-06-2024 08:30:14,0.313s,PASSED
"click(findTestObject(""Object Repository/nscet/Page_N S C E T/div_Explore NSCET_carousel-item caro-slide-_1d3dd6""))",Chrome 125.0.0.0,,,13-06-2024 08:30:14,13-06-2024 08:30:15,0.619s,FAILED
,,,,,,,
Test Cases/nscet/admission,Chrome 125.0.0.0,,,13-06-2024 08:31:30,13-06-2024 08:31:51,21.426s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 08:31:30,13-06-2024 08:31:31,0.899s,PASSED
"navigateToUrl(""https://nscet.org/administration/index.php"")",Chrome 125.0.0.0,,,13-06-2024 08:31:31,13-06-2024 08:31:37,6.303s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Administration/h2_NSCET ADMINISTRATION""))",Chrome 125.0.0.0,,,13-06-2024 08:31:37,13-06-2024 08:31:38,0.328s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Administration/h2_NSCET ADMINISTRATION""))",Chrome 125.0.0.0,,,13-06-2024 08:31:38,13-06-2024 08:31:38,0.293s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Administration/div_VISION                        To establ_f2781b""))",Chrome 125.0.0.0,,,13-06-2024 08:31:38,13-06-2024 08:31:38,0.323s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Administration/p_To establish ourselves as a leading techn_dd2548""))",Chrome 125.0.0.0,,,13-06-2024 08:31:38,13-06-2024 08:31:38,0.293s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Administration/div_MISSION                         To prov_6fee3c""))",Chrome 125.0.0.0,,,13-06-2024 08:31:38,13-06-2024 08:31:39,0.295s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Administration/h2_NSCET ADMINISTRATION""))",Chrome 125.0.0.0,,,13-06-2024 08:31:39,13-06-2024 08:31:39,0.306s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Administration/strong_ADMISSION""))",Chrome 125.0.0.0,,,13-06-2024 08:31:39,13-06-2024 08:31:39,0.280s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Administration/a_Eligibility for Admission""))",Chrome 125.0.0.0,,,13-06-2024 08:31:39,13-06-2024 08:31:42,2.516s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Admission/form_ADMISSION 2024 - 2025                 _6a1c2d""))",Chrome 125.0.0.0,,,13-06-2024 08:31:42,13-06-2024 08:31:42,0.294s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Admission/section_ADMISSION 2024 - 2025              _ab08da""))",Chrome 125.0.0.0,,,13-06-2024 08:31:42,13-06-2024 08:31:42,0.314s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Admission/section_ADMISSION 2024 - 2025              _ab08da""))",Chrome 125.0.0.0,,,13-06-2024 08:31:42,13-06-2024 08:31:43,0.271s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Admission/form_ADMISSION 2024 - 2025                 _6a1c2d""))",Chrome 125.0.0.0,,,13-06-2024 08:31:43,13-06-2024 08:31:43,0.282s,PASSED
"click(findTestObject(""Object Repository/admission/Page_NSCET Admission/section_ADMISSION 2024 - 2025              _ab08da""))",Chrome 125.0.0.0,,,13-06-2024 08:31:43,13-06-2024 08:31:43,0.291s,PASSED
